Time	TH	H	HD=0	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba
0.0000	0.0844	0.1044	1.0000	CycD	0.988589	0.000076	CycD -- CycE	0.005388	0.000052	CycD -- CycA	0.005490	0.000052	CycD -- CycE -- CycA	0.000454	0.000013	CycD -- CycB	0.000000	0.000000	CycD -- CycA -- CycB	0.000073	0.000005	CycD -- CycE -- CycA -- CycB	0.000006	0.000001
0.2000	0.2092	0.4567	1.0000	CycD	0.931844	0.000225	CycD -- CycE	0.030361	0.000151	CycD -- CycA	0.031805	0.000154	CycD -- CycE -- CycA	0.004117	0.000049	CycD -- CycB	0.000022	0.000003	CycD -- CycE -- CycB	0.000001	0.000001	CycD -- CycA -- CycB	0.001693	0.000033	CycD -- CycE -- CycA -- CycB	0.000156	0.000009
0.4000	0.2879	0.8639	1.0000	CycD	0.845206	0.000339	CycD -- CycE	0.064581	0.000226	CycD -- CycA	0.071163	0.000235	CycD -- CycE -- CycA	0.010422	0.000081	CycD -- CycB	0.000173	0.000009	CycD -- CycE -- CycB	0.000009	0.000002	CycD -- CycA -- CycB	0.007853	0.000077	CycD -- CycE -- CycA -- CycB	0.000594	0.000019
0.6000	0.3347	1.2339	1.0000	CycD	0.748186	0.000414	CycD -- CycE	0.097296	0.000278	CycD -- CycA	0.114654	0.000296	CycD -- CycE -- CycA	0.017472	0.000106	CycD -- CycB	0.000587	0.000017	CycD -- CycE -- CycB	0.000022	0.000003	CycD -- CycA -- CycB	0.020627	0.000129	CycD -- CycE -- CycA -- CycB	0.001156	0.000027
0.8000	0.3592	1.5340	1.0000	CycD	0.652676	0.000458	CycD -- CycE	0.124150	0.000312	CycD -- CycA	0.157536	0.000342	CycD -- CycE -- CycA	0.023418	0.000123	CycD -- CycB	0.001342	0.000027	CycD -- CycE -- CycB	0.000030	0.000003	CycD -- CycA -- CycB	0.039186	0.000179	CycD -- CycE -- CycA -- CycB	0.001662	0.000032
1.0000	0.3675	1.7621	1.0000	CycD	0.565186	0.000479	CycD -- CycE	0.144063	0.000334	CycD -- CycA	0.195994	0.000374	CycD -- CycE -- CycA	0.027652	0.000134	CycD -- CycB	0.002324	0.000036	CycD -- CycE -- CycB	0.000051	0.000005	CycD -- CycA -- CycB	0.062597	0.000226	CycD -- CycE -- CycA -- CycB	0.002134	0.000036
1.2000	0.3643	1.9260	1.0000	CycD	0.488984	0.000484	CycD -- CycE	0.156912	0.000348	CycD -- CycA	0.228386	0.000397	CycD -- CycE -- CycA	0.030515	0.000140	CycD -- CycB	0.003582	0.000045	CycD -- CycE -- CycB	0.000054	0.000005	CycD -- CycA -- CycB	0.089145	0.000268	CycD -- CycE -- CycA -- CycB	0.002421	0.000039
1.4000	0.3545	2.0363	1.0000	CycD	0.425908	0.000480	CycD -- CycE	0.162973	0.000354	CycD -- CycA	0.254353	0.000412	CycD -- CycE -- CycA	0.032096	0.000144	CycD -- CycB	0.004956	0.000053	CycD -- CycE -- CycB	0.000057	0.000005	CycD -- CycA -- CycB	0.116993	0.000303	CycD -- CycE -- CycA -- CycB	0.002663	0.000041
1.6000	0.3413	2.1061	1.0000	CycD	0.375573	0.000470	CycD -- CycE	0.163757	0.000356	CycD -- CycA	0.273631	0.000422	CycD -- CycE -- CycA	0.032805	0.000146	CycD -- CycB	0.006416	0.000061	CycD -- CycE -- CycB	0.000062	0.000005	CycD -- CycA -- CycB	0.145056	0.000333	CycD -- CycE -- CycA -- CycB	0.002700	0.000041
1.8000	0.3262	2.1466	1.0000	CycD	0.337285	0.000459	CycD -- CycE	0.160889	0.000354	CycD -- CycA	0.287153	0.000429	CycD -- CycE -- CycA	0.032667	0.000146	CycD -- CycB	0.007927	0.000068	CycD -- CycE -- CycB	0.000070	0.000006	CycD -- CycA -- CycB	0.171287	0.000357	CycD -- CycE -- CycA -- CycB	0.002722	0.000041
