Time	TH	ErrorTH	H	HD=0	HD=1	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba
0.0000	0.0000	0.0000	0.1423	0.0197	0.9803	<nil>	0.000048	0.000006	T	0.000230	0.000015	B -- T	0.019460	0.000158	A -- B -- T	0.980263	0.000160
0.0100	0.0001	0.0000	0.3332	0.0582	0.9418	<nil>	0.000651	0.000031	T	0.001085	0.000037	A -- T	0.000005	0.000002	B -- T	0.056433	0.000306	A -- B -- T	0.941825	0.000311
0.0200	0.0002	0.0000	0.4848	0.0951	0.9049	<nil>	0.002307	0.000062	T	0.002300	0.000056	A -- T	0.000023	0.000006	B -- T	0.090474	0.000389	A -- B -- T	0.904895	0.000400
0.0300	0.0003	0.0000	0.6155	0.1305	0.8695	<nil>	0.005270	0.000096	T	0.003669	0.000071	A -- T	0.000054	0.000010	B -- T	0.121590	0.000448	A -- B -- T	0.869416	0.000464
0.0400	0.0004	0.0000	0.7302	0.1646	0.8354	<nil>	0.009514	0.000131	T	0.004860	0.000083	A -- T	0.000097	0.000013	B -- T	0.150204	0.000492	A -- B -- T	0.835326	0.000514
0.0500	0.0005	0.0000	0.8322	0.1973	0.8027	<nil>	0.014894	0.000165	T	0.005887	0.000091	A -- T	0.000148	0.000017	B -- T	0.176500	0.000527	A -- B -- T	0.802572	0.000553
0.0600	0.0006	0.0000	0.9246	0.2287	0.7713	<nil>	0.021313	0.000198	T	0.006948	0.000099	A -- T	0.000207	0.000020	B -- T	0.200427	0.000555	A -- B -- T	0.771106	0.000585
0.0700	0.0006	0.0000	1.0087	0.2588	0.7412	<nil>	0.028785	0.000231	T	0.007918	0.000106	A -- T	0.000281	0.000023	B -- T	0.222147	0.000577	A -- B -- T	0.740870	0.000612
0.0800	0.0007	0.0000	1.0847	0.2878	0.7122	<nil>	0.037143	0.000262	T	0.008702	0.000112	A -- T	0.000369	0.000027	B -- T	0.241967	0.000595	A -- B -- T	0.711820	0.000633
0.0900	0.0008	0.0000	1.1541	0.3156	0.6844	<nil>	0.046323	0.000292	T	0.009451	0.000116	A -- T	0.000462	0.000030	B -- T	0.259854	0.000610	A -- B -- T	0.683910	0.000651
0.1000	0.0008	0.0000	1.2177	0.3423	0.6577	<nil>	0.056236	0.000321	T	0.010197	0.000121	A -- T	0.000563	0.000033	B -- T	0.275910	0.000622	A -- B -- T	0.657093	0.000665
0.1100	0.0009	0.0000	1.2761	0.3680	0.6320	<nil>	0.066823	0.000348	T	0.010922	0.000125	A -- T	0.000679	0.000036	B -- T	0.290244	0.000632	A -- B -- T	0.631333	0.000676
0.1200	0.0009	0.0000	1.3283	0.3926	0.6074	<nil>	0.078022	0.000374	T	0.011415	0.000128	A -- T	0.000781	0.000039	B -- T	0.303199	0.000641	A -- B -- T	0.606582	0.000685
0.1300	0.0010	0.0000	1.3763	0.4163	0.5837	<nil>	0.089651	0.000399	T	0.011973	0.000131	A -- T	0.000898	0.000042	B -- T	0.314673	0.000648	A -- B -- T	0.582805	0.000692
0.1400	0.0010	0.0000	1.4201	0.4390	0.5610	<nil>	0.101799	0.000423	T	0.012495	0.000134	A -- T	0.001016	0.000045	B -- T	0.324732	0.000653	A -- B -- T	0.559958	0.000697
0.1500	0.0010	0.0000	1.4596	0.4609	0.5391	<nil>	0.114417	0.000445	T	0.012961	0.000137	A -- T	0.001122	0.000047	B -- T	0.333482	0.000658	A -- B -- T	0.538018	0.000700
0.1600	0.0011	0.0000	1.4952	0.4818	0.5182	<nil>	0.127433	0.000467	T	0.013330	0.000139	A -- T	0.001246	0.000049	B -- T	0.341060	0.000662	A -- B -- T	0.516932	0.000702
0.1700	0.0011	0.0000	1.5266	0.5020	0.4980	<nil>	0.140735	0.000487	T	0.013548	0.000140	A -- T	0.001362	0.000052	B -- T	0.347682	0.000665	A -- B -- T	0.496673	0.000702
0.1800	0.0011	0.0000	1.5551	0.5213	0.4787	<nil>	0.154350	0.000506	T	0.013835	0.000141	A -- T	0.001489	0.000054	B -- T	0.353114	0.000668	A -- B -- T	0.477212	0.000702
0.1900	0.0011	0.0000	1.5804	0.5399	0.4601	<nil>	0.168300	0.000525	T	0.014036	0.000142	A -- T	0.001612	0.000056	B -- T	0.357545	0.000670	A -- B -- T	0.458508	0.000700
0.2000	0.0011	0.0000	1.6024	0.5577	0.4423	<nil>	0.182484	0.000542	T	0.014181	0.000143	A -- T	0.001731	0.000058	B -- T	0.361054	0.000671	A -- B -- T	0.440550	0.000698
0.2100	0.0011	0.0000	1.6216	0.5749	0.4251	<nil>	0.196816	0.000558	T	0.014284	0.000143	A -- T	0.001853	0.000060	B -- T	0.363755	0.000673	A -- B -- T	0.423292	0.000695
0.2200	0.0011	0.0000	1.6370	0.5913	0.4087	<nil>	0.211202	0.000573	T	0.014138	0.000143	A -- T	0.001977	0.000062	B -- T	0.365970	0.000674	A -- B -- T	0.406714	0.000691
0.2300	0.0011	0.0000	1.6510	0.6071	0.3929	<nil>	0.225488	0.000587	T	0.014252	0.000143	A -- T	0.002089	0.000064	B -- T	0.367379	0.000674	A -- B -- T	0.390792	0.000686
0.2400	0.0012	0.0000	1.6633	0.6223	0.3777	<nil>	0.239913	0.000600	T	0.014452	0.000144	A -- T	0.002213	0.000066	B -- T	0.367926	0.000675	A -- B -- T	0.375496	0.000681
0.2500	0.0012	0.0000	1.6729	0.6369	0.3631	<nil>	0.254501	0.000612	T	0.014533	0.000144	A -- T	0.002328	0.000068	B -- T	0.367838	0.000675	A -- B -- T	0.360801	0.000676
0.2600	0.0012	0.0000	1.6804	0.6509	0.3491	<nil>	0.269115	0.000623	T	0.014587	0.000145	A -- T	0.002445	0.000069	B -- T	0.367170	0.000675	A -- B -- T	0.346682	0.000670
0.2700	0.0012	0.0000	1.6861	0.6643	0.3357	<nil>	0.283648	0.000634	T	0.014689	0.000145	A -- T	0.002562	0.000071	B -- T	0.365990	0.000674	A -- B -- T	0.333111	0.000663
0.2800	0.0012	0.0000	1.6887	0.6772	0.3228	<nil>	0.298191	0.000643	T	0.014483	0.000145	A -- T	0.002683	0.000073	B -- T	0.364560	0.000674	A -- B -- T	0.320082	0.000656
0.2900	0.0011	0.0000	1.6897	0.6897	0.3103	<nil>	0.312522	0.000652	T	0.014328	0.000144	A -- T	0.002791	0.000074	B -- T	0.362803	0.000673	A -- B -- T	0.307556	0.000649
0.3000	0.0012	0.0000	1.6901	0.7016	0.2984	<nil>	0.326734	0.000660	T	0.014375	0.000144	A -- T	0.002902	0.000076	B -- T	0.360474	0.000673	A -- B -- T	0.295515	0.000642
0.3100	0.0012	0.0000	1.6888	0.7130	0.2870	<nil>	0.341010	0.000667	T	0.014356	0.000144	A -- T	0.003029	0.000077	B -- T	0.357659	0.000672	A -- B -- T	0.283946	0.000635
0.3200	0.0012	0.0000	1.6860	0.7240	0.2760	<nil>	0.355243	0.000673	T	0.014355	0.000144	A -- T	0.003129	0.000079	B -- T	0.354434	0.000670	A -- B -- T	0.272839	0.000627
0.3300	0.0011	0.0000	1.6815	0.7346	0.2654	<nil>	0.369454	0.000679	T	0.014254	0.000144	A -- T	0.003249	0.000080	B -- T	0.350879	0.000669	A -- B -- T	0.262165	0.000619
0.3400	0.0011	0.0000	1.6753	0.7447	0.2553	<nil>	0.383608	0.000684	T	0.014064	0.000143	A -- T	0.003359	0.000081	B -- T	0.347056	0.000667	A -- B -- T	0.251913	0.000611
0.3500	0.0011	0.0000	1.6675	0.7545	0.2455	<nil>	0.397490	0.000689	T	0.013799	0.000141	A -- T	0.003459	0.000083	B -- T	0.343187	0.000666	A -- B -- T	0.242065	0.000603
0.3600	0.0011	0.0000	1.6583	0.7638	0.2362	<nil>	0.411171	0.000693	T	0.013458	0.000139	A -- T	0.003566	0.000084	B -- T	0.339208	0.000664	A -- B -- T	0.232598	0.000595
0.3700	0.0011	0.0000	1.6490	0.7728	0.2272	<nil>	0.424603	0.000696	T	0.013314	0.000138	A -- T	0.003662	0.000085	B -- T	0.334898	0.000662	A -- B -- T	0.223522	0.000587
0.3800	0.0011	0.0000	1.6387	0.7814	0.2186	<nil>	0.437913	0.000699	T	0.013174	0.000138	A -- T	0.003754	0.000086	B -- T	0.330355	0.000660	A -- B -- T	0.214805	0.000578
0.3900	0.0010	0.0000	1.6271	0.7897	0.2103	<nil>	0.451163	0.000701	T	0.012942	0.000137	A -- T	0.003849	0.000087	B -- T	0.325631	0.000657	A -- B -- T	0.206416	0.000570
0.4000	0.0010	0.0000	1.6151	0.7977	0.2023	<nil>	0.464137	0.000702	T	0.012817	0.000136	A -- T	0.003939	0.000088	B -- T	0.320754	0.000655	A -- B -- T	0.198354	0.000562
0.4100	0.0010	0.0000	1.6019	0.8053	0.1947	<nil>	0.477015	0.000703	T	0.012598	0.000135	A -- T	0.004033	0.000089	B -- T	0.315737	0.000652	A -- B -- T	0.190617	0.000553
0.4200	0.0010	0.0000	1.5885	0.8127	0.1873	<nil>	0.489602	0.000704	T	0.012486	0.000135	A -- T	0.004109	0.000090	B -- T	0.310613	0.000649	A -- B -- T	0.183190	0.000545
0.4300	0.0010	0.0000	1.5731	0.8198	0.1802	<nil>	0.502117	0.000704	T	0.012135	0.000132	A -- T	0.004172	0.000091	B -- T	0.305527	0.000647	A -- B -- T	0.176049	0.000536
0.4400	0.0010	0.0000	1.5579	0.8265	0.1735	<nil>	0.514176	0.000704	T	0.011887	0.000131	A -- T	0.004256	0.000092	B -- T	0.300478	0.000644	A -- B -- T	0.169203	0.000528
0.4500	0.0009	0.0000	1.5425	0.8331	0.1669	<nil>	0.526068	0.000703	T	0.011711	0.000130	A -- T	0.004342	0.000093	B -- T	0.295279	0.000640	A -- B -- T	0.162599	0.000520
0.4600	0.0009	0.0000	1.5272	0.8393	0.1607	<nil>	0.537679	0.000702	T	0.011678	0.000130	A -- T	0.004421	0.000094	B -- T	0.289963	0.000637	A -- B -- T	0.156259	0.000511
0.4700	0.0009	0.0000	1.5107	0.8453	0.1547	<nil>	0.549237	0.000701	T	0.011525	0.000129	A -- T	0.004476	0.000094	B -- T	0.284586	0.000634	A -- B -- T	0.150176	0.000503
0.4800	0.0009	0.0000	1.4931	0.8511	0.1489	<nil>	0.560719	0.000699	T	0.011249	0.000128	A -- T	0.004546	0.000095	B -- T	0.279167	0.000630	A -- B -- T	0.144318	0.000495
0.4900	0.0009	0.0000	1.4763	0.8567	0.1433	<nil>	0.571785	0.000697	T	0.011183	0.000127	A -- T	0.004607	0.000096	B -- T	0.273724	0.000626	A -- B -- T	0.138701	0.000487
0.5000	0.0009	0.0000	1.4580	0.8620	0.1380	<nil>	0.582862	0.000695	T	0.010888	0.000126	A -- T	0.004690	0.000096	B -- T	0.268259	0.000622	A -- B -- T	0.133301	0.000479
0.5100	0.0009	0.0000	1.4407	0.8671	0.1329	<nil>	0.593495	0.000692	T	0.010846	0.000126	A -- T	0.004755	0.000097	B -- T	0.262787	0.000618	A -- B -- T	0.128116	0.000471
0.5200	0.0008	0.0000	1.4214	0.8721	0.1279	<nil>	0.604192	0.000689	T	0.010526	0.000124	A -- T	0.004805	0.000098	B -- T	0.257337	0.000614	A -- B -- T	0.123140	0.000463
0.5300	0.0008	0.0000	1.4020	0.8768	0.1232	<nil>	0.614546	0.000686	T	0.010190	0.000122	A -- T	0.004862	0.000098	B -- T	0.252041	0.000610	A -- B -- T	0.118361	0.000455
0.5400	0.0008	0.0000	1.3835	0.8813	0.1187	<nil>	0.624464	0.000682	T	0.010026	0.000121	A -- T	0.004932	0.000099	B -- T	0.246819	0.000606	A -- B -- T	0.113759	0.000447
0.5500	0.0008	0.0000	1.3641	0.8857	0.1143	<nil>	0.634337	0.000679	T	0.009753	0.000119	A -- T	0.004995	0.000099	B -- T	0.241565	0.000601	A -- B -- T	0.109351	0.000440
0.5600	0.0008	0.0000	1.3456	0.8899	0.1101	<nil>	0.643858	0.000675	T	0.009684	0.000119	A -- T	0.005031	0.000100	B -- T	0.236313	0.000597	A -- B -- T	0.105114	0.000432
0.5700	0.0008	0.0000	1.3255	0.8939	0.1061	<nil>	0.653421	0.000671	T	0.009378	0.000117	A -- T	0.005074	0.000100	B -- T	0.231089	0.000592	A -- B -- T	0.101037	0.000425
0.5800	0.0007	0.0000	1.3059	0.8977	0.1023	<nil>	0.662698	0.000666	T	0.009152	0.000116	A -- T	0.005126	0.000101	B -- T	0.225895	0.000588	A -- B -- T	0.097129	0.000417
0.5900	0.0007	0.0000	1.2867	0.9015	0.0985	<nil>	0.671697	0.000662	T	0.009026	0.000115	A -- T	0.005162	0.000101	B -- T	0.220750	0.000583	A -- B -- T	0.093366	0.000410
0.6000	0.0007	0.0000	1.2668	0.9051	0.0949	<nil>	0.680587	0.000657	T	0.008802	0.000113	A -- T	0.005187	0.000101	B -- T	0.215667	0.000578	A -- B -- T	0.089757	0.000403
0.6100	0.0007	0.0000	1.2469	0.9085	0.0915	<nil>	0.689276	0.000652	T	0.008607	0.000112	A -- T	0.005209	0.000102	B -- T	0.210632	0.000573	A -- B -- T	0.086275	0.000396
0.6200	0.0007	0.0000	1.2272	0.9118	0.0882	<nil>	0.697738	0.000647	T	0.008423	0.000111	A -- T	0.005249	0.000102	B -- T	0.205648	0.000568	A -- B -- T	0.082942	0.000389
0.6300	0.0006	0.0000	1.2066	0.9150	0.0850	<nil>	0.706144	0.000642	T	0.008095	0.000108	A -- T	0.005282	0.000102	B -- T	0.200735	0.000563	A -- B -- T	0.079744	0.000382
0.6400	0.0006	0.0000	1.1874	0.9180	0.0820	<nil>	0.714150	0.000637	T	0.007984	0.000108	A -- T	0.005299	0.000102	B -- T	0.195887	0.000558	A -- B -- T	0.076680	0.000375
0.6500	0.0006	0.0000	1.1673	0.9210	0.0790	<nil>	0.722031	0.000631	T	0.007737	0.000106	A -- T	0.005300	0.000102	B -- T	0.191199	0.000553	A -- B -- T	0.073733	0.000368
0.6600	0.0006	0.0000	1.1475	0.9238	0.0762	<nil>	0.729684	0.000626	T	0.007484	0.000104	A -- T	0.005329	0.000103	B -- T	0.186604	0.000548	A -- B -- T	0.070898	0.000362
0.6700	0.0006	0.0000	1.1280	0.9265	0.0735	<nil>	0.737105	0.000621	T	0.007253	0.000103	A -- T	0.005361	0.000103	B -- T	0.182119	0.000543	A -- B -- T	0.068162	0.000355
0.6800	0.0006	0.0000	1.1092	0.9291	0.0709	<nil>	0.744287	0.000615	T	0.007162	0.000102	A -- T	0.005389	0.000103	B -- T	0.177630	0.000538	A -- B -- T	0.065532	0.000349
0.6900	0.0006	0.0000	1.0897	0.9316	0.0684	<nil>	0.751421	0.000609	T	0.006940	0.000100	A -- T	0.005403	0.000103	B -- T	0.173210	0.000532	A -- B -- T	0.063027	0.000342
0.7000	0.0005	0.0000	1.0706	0.9340	0.0660	<nil>	0.758367	0.000603	T	0.006785	0.000099	A -- T	0.005395	0.000103	B -- T	0.168843	0.000527	A -- B -- T	0.060611	0.000336
0.7100	0.0005	0.0000	1.0519	0.9363	0.0637	<nil>	0.765095	0.000598	T	0.006661	0.000098	A -- T	0.005416	0.000104	B -- T	0.164535	0.000522	A -- B -- T	0.058293	0.000330
0.7200	0.0005	0.0000	1.0331	0.9385	0.0615	<nil>	0.771670	0.000592	T	0.006509	0.000097	A -- T	0.005415	0.000104	B -- T	0.160332	0.000516	A -- B -- T	0.056073	0.000324
0.7300	0.0005	0.0000	1.0145	0.9406	0.0594	<nil>	0.778097	0.000586	T	0.006386	0.000097	A -- T	0.005411	0.000104	B -- T	0.156153	0.000511	A -- B -- T	0.053953	0.000318
0.7400	0.0005	0.0000	0.9956	0.9427	0.0573	<nil>	0.784417	0.000580	T	0.006170	0.000095	A -- T	0.005421	0.000104	B -- T	0.152103	0.000505	A -- B -- T	0.051888	0.000313
0.7500	0.0005	0.0000	0.9772	0.9446	0.0554	<nil>	0.790528	0.000574	T	0.006005	0.000094	A -- T	0.005438	0.000104	B -- T	0.148116	0.000500	A -- B -- T	0.049914	0.000307
0.7600	0.0005	0.0000	0.9589	0.9465	0.0535	<nil>	0.796523	0.000568	T	0.005837	0.000092	A -- T	0.005448	0.000104	B -- T	0.144186	0.000494	A -- B -- T	0.048006	0.000301
0.7700	0.0005	0.0000	0.9404	0.9484	0.0516	<nil>	0.802377	0.000561	T	0.005627	0.000090	A -- T	0.005463	0.000104	B -- T	0.140365	0.000489	A -- B -- T	0.046168	0.000296
0.7800	0.0005	0.0000	0.9236	0.9501	0.0499	<nil>	0.807884	0.000555	T	0.005631	0.000091	A -- T	0.005457	0.000104	B -- T	0.136622	0.000483	A -- B -- T	0.044406	0.000290
0.7900	0.0004	0.0000	0.9059	0.9518	0.0482	<nil>	0.813422	0.000549	T	0.005499	0.000090	A -- T	0.005450	0.000104	B -- T	0.132909	0.000478	A -- B -- T	0.042720	0.000285
0.8000	0.0004	0.0000	0.8884	0.9535	0.0465	<nil>	0.818786	0.000543	T	0.005344	0.000088	A -- T	0.005454	0.000104	B -- T	0.129332	0.000472	A -- B -- T	0.041084	0.000280
0.8100	0.0004	0.0000	0.8703	0.9550	0.0450	<nil>	0.824059	0.000537	T	0.005070	0.000086	A -- T	0.005465	0.000104	B -- T	0.125903	0.000467	A -- B -- T	0.039504	0.000274
0.8200	0.0004	0.0000	0.8537	0.9565	0.0435	<nil>	0.829055	0.000531	T	0.004955	0.000085	A -- T	0.005477	0.000104	B -- T	0.122516	0.000461	A -- B -- T	0.037997	0.000269
0.8300	0.0004	0.0000	0.8373	0.9580	0.0420	<nil>	0.833895	0.000525	T	0.004856	0.000085	A -- T	0.005481	0.000104	B -- T	0.119202	0.000456	A -- B -- T	0.036566	0.000264
0.8400	0.0004	0.0000	0.8203	0.9593	0.0407	<nil>	0.838709	0.000519	T	0.004635	0.000082	A -- T	0.005474	0.000104	B -- T	0.115992	0.000451	A -- B -- T	0.035189	0.000260
0.8500	0.0004	0.0000	0.8047	0.9607	0.0393	<nil>	0.843230	0.000513	T	0.004602	0.000082	A -- T	0.005456	0.000104	B -- T	0.112865	0.000445	A -- B -- T	0.033848	0.000255
0.8600	0.0004	0.0000	0.7887	0.9620	0.0380	<nil>	0.847746	0.000507	T	0.004499	0.000081	A -- T	0.005438	0.000104	B -- T	0.109762	0.000440	A -- B -- T	0.032555	0.000250
0.8700	0.0003	0.0000	0.7726	0.9632	0.0368	<nil>	0.852208	0.000500	T	0.004341	0.000080	A -- T	0.005440	0.000104	B -- T	0.106681	0.000434	A -- B -- T	0.031329	0.000245
