Time	TH	ErrorTH	H	HD=0	HD=1	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba
0.0000	0.0001	0.0000	0.1421	0.0197	0.9803	T	0.000278	0.000017	B -- T	0.019460	0.000158	A -- B -- T	0.980263	0.000160
0.0100	0.0008	0.0000	0.3315	0.0582	0.9418	<nil>	0.000000	0.000000	T	0.001739	0.000053	A -- T	0.000002	0.000002	B -- T	0.056433	0.000306	A -- B -- T	0.941825	0.000311
0.0200	0.0020	0.0000	0.4803	0.0951	0.9049	<nil>	0.000005	0.000003	T	0.004596	0.000089	A -- T	0.000030	0.000006	B -- T	0.090474	0.000389	A -- B -- T	0.904895	0.000400
0.0300	0.0039	0.0001	0.6072	0.1305	0.8695	<nil>	0.000010	0.000004	T	0.008884	0.000126	A -- T	0.000099	0.000013	B -- T	0.121590	0.000448	A -- B -- T	0.869416	0.000464
0.0400	0.0063	0.0001	0.7179	0.1645	0.8355	<nil>	0.000023	0.000006	T	0.014237	0.000161	A -- T	0.000210	0.000020	B -- T	0.150204	0.000492	A -- B -- T	0.835326	0.000514
0.0500	0.0090	0.0001	0.8161	0.1971	0.8029	<nil>	0.000038	0.000008	T	0.020520	0.000194	A -- T	0.000370	0.000026	B -- T	0.176500	0.000527	A -- B -- T	0.802572	0.000553
0.0600	0.0122	0.0001	0.9049	0.2283	0.7717	<nil>	0.000060	0.000010	T	0.027810	0.000226	A -- T	0.000597	0.000033	B -- T	0.200429	0.000555	A -- B -- T	0.771104	0.000585
0.0700	0.0158	0.0001	0.9859	0.2582	0.7418	<nil>	0.000094	0.000013	T	0.035935	0.000257	A -- T	0.000943	0.000042	B -- T	0.222147	0.000577	A -- B -- T	0.740881	0.000612
0.0800	0.0196	0.0001	1.0594	0.2868	0.7132	<nil>	0.000136	0.000016	T	0.044709	0.000286	A -- T	0.001342	0.000050	B -- T	0.241967	0.000595	A -- B -- T	0.711847	0.000633
0.0900	0.0238	0.0001	1.1268	0.3142	0.6858	<nil>	0.000182	0.000019	T	0.054192	0.000314	A -- T	0.001819	0.000059	B -- T	0.259858	0.000610	A -- B -- T	0.683949	0.000651
0.1000	0.0283	0.0002	1.1887	0.3405	0.6595	<nil>	0.000231	0.000021	T	0.064353	0.000341	A -- T	0.002356	0.000067	B -- T	0.275916	0.000622	A -- B -- T	0.657143	0.000665
0.1100	0.0330	0.0002	1.2459	0.3656	0.6344	<nil>	0.000290	0.000024	T	0.075052	0.000367	A -- T	0.003010	0.000076	B -- T	0.290249	0.000632	A -- B -- T	0.631399	0.000676
0.1200	0.0378	0.0002	1.2985	0.3895	0.6105	<nil>	0.000369	0.000027	T	0.085950	0.000391	A -- T	0.003805	0.000085	B -- T	0.303209	0.000641	A -- B -- T	0.606667	0.000685
0.1300	0.0427	0.0002	1.3471	0.4124	0.5876	<nil>	0.000457	0.000030	T	0.097258	0.000414	A -- T	0.004680	0.000095	B -- T	0.314691	0.000648	A -- B -- T	0.582915	0.000692
0.1400	0.0479	0.0002	1.3918	0.4343	0.5657	<nil>	0.000551	0.000033	T	0.108959	0.000435	A -- T	0.005632	0.000104	B -- T	0.324754	0.000653	A -- B -- T	0.560105	0.000697
0.1500	0.0532	0.0002	1.4331	0.4551	0.5449	<nil>	0.000648	0.000035	T	0.120964	0.000456	A -- T	0.006678	0.000113	B -- T	0.333508	0.000658	A -- B -- T	0.538202	0.000700
0.1600	0.0585	0.0002	1.4715	0.4750	0.5250	<nil>	0.000770	0.000039	T	0.133103	0.000475	A -- T	0.007867	0.000123	B -- T	0.341102	0.000662	A -- B -- T	0.517158	0.000702
0.1700	0.0638	0.0002	1.5070	0.4938	0.5062	<nil>	0.000911	0.000042	T	0.145174	0.000493	A -- T	0.009215	0.000133	B -- T	0.347734	0.000665	A -- B -- T	0.496965	0.000702
0.1800	0.0692	0.0002	1.5399	0.5117	0.4883	<nil>	0.001071	0.000046	T	0.157490	0.000510	A -- T	0.010670	0.000143	B -- T	0.353177	0.000668	A -- B -- T	0.477592	0.000702
0.1900	0.0747	0.0002	1.5701	0.5288	0.4712	<nil>	0.001227	0.000049	T	0.169986	0.000526	A -- T	0.012182	0.000153	B -- T	0.357609	0.000670	A -- B -- T	0.458996	0.000700
0.2000	0.0802	0.0002	1.5979	0.5451	0.4549	<nil>	0.001390	0.000052	T	0.182540	0.000541	A -- T	0.013802	0.000163	B -- T	0.361144	0.000671	A -- B -- T	0.441124	0.000698
0.2100	0.0857	0.0002	1.6235	0.5605	0.4395	<nil>	0.001579	0.000056	T	0.195037	0.000555	A -- T	0.015528	0.000173	B -- T	0.363884	0.000673	A -- B -- T	0.423973	0.000695
0.2200	0.0910	0.0002	1.6470	0.5751	0.4249	<nil>	0.001779	0.000059	T	0.207164	0.000568	A -- T	0.017406	0.000183	B -- T	0.366121	0.000674	A -- B -- T	0.407530	0.000691
0.2300	0.0964	0.0003	1.6686	0.5889	0.4111	<nil>	0.001993	0.000062	T	0.219331	0.000580	A -- T	0.019372	0.000193	B -- T	0.367551	0.000674	A -- B -- T	0.391753	0.000686
0.2400	0.1018	0.0003	1.6885	0.6020	0.3980	<nil>	0.002229	0.000066	T	0.231603	0.000592	A -- T	0.021434	0.000203	B -- T	0.368141	0.000675	A -- B -- T	0.376593	0.000682
0.2500	0.1072	0.0003	1.7065	0.6144	0.3856	<nil>	0.002448	0.000069	T	0.243852	0.000602	A -- T	0.023566	0.000212	B -- T	0.368116	0.000675	A -- B -- T	0.362018	0.000676
0.2600	0.1125	0.0003	1.7230	0.6262	0.3738	<nil>	0.002691	0.000073	T	0.255974	0.000612	A -- T	0.025793	0.000222	B -- T	0.367493	0.000675	A -- B -- T	0.348049	0.000670
0.2700	0.1177	0.0003	1.7382	0.6372	0.3628	<nil>	0.002954	0.000076	T	0.267872	0.000622	A -- T	0.028184	0.000232	B -- T	0.366330	0.000675	A -- B -- T	0.334659	0.000664
0.2800	0.1228	0.0003	1.7519	0.6475	0.3525	<nil>	0.003220	0.000080	T	0.279366	0.000630	A -- T	0.030653	0.000242	B -- T	0.364959	0.000674	A -- B -- T	0.321802	0.000657
0.2900	0.1277	0.0003	1.7642	0.6573	0.3427	<nil>	0.003498	0.000083	T	0.290535	0.000637	A -- T	0.033246	0.000251	B -- T	0.363271	0.000674	A -- B -- T	0.309449	0.000651
0.3000	0.1326	0.0003	1.7753	0.6665	0.3335	<nil>	0.003796	0.000086	T	0.301735	0.000645	A -- T	0.035843	0.000261	B -- T	0.360985	0.000673	A -- B -- T	0.297640	0.000643
