Trajectory	State	Proba	State	Proba	State	Proba	State	Proba
#1	T	0.2451593588	A -- T	0.6499619815	B -- T	0.004932925673	A -- B -- T	0.09994573403
#2	T	0.6269678859	A -- T	0.162650092	B -- T	0.03135837683	A -- B -- T	0.1790236452
#3	T	0.3204102577	A -- T	0.5608856339	B -- T	0.0561919841	A -- B -- T	0.06251212431
#4	T	0.3250115017	A -- T	0.1605258284	B -- T	0.2342540872	A -- B -- T	0.2802085827
#5	T	0.4262418784	A -- T	0.3655545018	B -- T	0.03234560014	A -- B -- T	0.1758580197
#6	T	0.4932125879	A -- T	0.135387533	B -- T	0.29446433	A -- B -- T	0.07693554914
#7	T	0.5400416357	A -- T	0.3159308221	B -- T	0.09557677791	A -- B -- T	0.04845076428
#8	T	0.6349224652	A -- T	0.08204447198	B -- T	0.209614839	A -- B -- T	0.07341822385
#9	T	0.2982617464	A -- T	0.4618143702	B -- T	0.1179202761	A -- B -- T	0.1220036073
#10	T	0.4630470642	A -- T	0.2367803802	B -- T	0.1367183116	A -- B -- T	0.1634542439
#11	T	0.3155255088	A -- T	0.354439293	B -- T	0.2679764819	A -- B -- T	0.0620587164
#12	T	0.6594264884	A -- T	0.1039384265	B -- T	0.1409463887	A -- B -- T	0.09568869634
#13	T	0.3961825737	A -- T	0.4076830585	B -- T	0.02055154292	A -- B -- T	0.175582825
#14	T	0.550841364	A -- T	0.3282229166	B -- T	0.04651652632	A -- B -- T	0.07441919315
#15	T	0.5071876447	A -- T	0.3555014568	B -- T	0.08601550627	A -- B -- T	0.05129539219
#16	T	0.3630155529	A -- T	0.2646253149	B -- T	0.2904287703	A -- B -- T	0.08193036185
#17	T	0.4659980029	A -- T	0.3667602041	B -- T	0.05414383756	A -- B -- T	0.1130979554
#18	T	0.4487120979	A -- T	0.2177516009	B -- T	0.09966394675	A -- B -- T	0.2338723544
#19	T	0.3503859173	A -- T	0.4475867677	B -- T	0.1402707409	A -- B -- T	0.06175657413
#20	T	0.5943246909	A -- T	0.1808742857	B -- T	0.1229924822	A -- B -- T	0.1018085412
#21	T	0.3648104526	A -- T	0.3913923472	B -- T	0.08787839053	A -- B -- T	0.1559188097
#22	T	0.7757055441	A -- T	0.1491381058	B -- T	0.04135039847	A -- B -- T	0.03380595159
#23	T	0.4506173005	A -- T	0.4049562729	B -- T	0.08998661349	A -- B -- T	0.05443981305
#24	T	0.4489082005	A -- T	0.371122437	B -- T	0.03611028029	A -- B -- T	0.1438590822
#25	T	0.4361335728	A -- T	0.4209875122	B -- T	0.02045148493	A -- B -- T	0.1224274301
#26	T	0.5174047919	A -- T	0.1033550153	B -- T	0.08723091137	A -- B -- T	0.2920092814
#27	T	0.4815452193	A -- T	0.4152321858	B -- T	0.09753770226	A -- B -- T	0.005684892568
#28	T	0.63359332	A -- T	0.2215210255	B -- T	0.05173416355	A -- B -- T	0.09315149097
#29	T	0.5431072814	A -- T	0.4102381286	B -- T	0.02396780502	A -- B -- T	0.02268678494
#30	T	0.7330764497	A -- T	0.1021544206	B -- T	0.1284273631	A -- B -- T	0.03634176666
#31	T	0.6327536936	A -- T	0.2011520259	B -- T	0.1173622952	A -- B -- T	0.04873198531
#32	T	0.6994147473	A -- T	0.1052388757	B -- T	0.1084382972	A -- B -- T	0.08690807975
#33	T	0.8004307122	A -- T	0.06498139405	B -- T	0.02783501656	A -- B -- T	0.1067528772
#34	T	0.941107568	B -- T	0.05826901007	A -- B -- T	0.0006234219706
#35	T	0.2452164655	A -- T	0.5198804795	B -- T	0.1709316807	A -- B -- T	0.06397137439
#36	T	0.3727057619	A -- T	0.2754686196	B -- T	0.2248772625	A -- B -- T	0.126948356
